frame_id,concepticon_id,concepticon
1,1411,LIE (REST)
2,3184,BE ALIVE OR LIFE
3,504,LEARN
3,3626,KNOW
4,1409,SEE
5,1106,FALL ASLEEP
5,1585,SLEEP
6,1413,PLAY
7,1672,WRITE
8,695,GO
9,1441,FLY (MOVE THROUGH AIR)
10,715,SHOUT
11,1440,SPIT
12,879,COUGH
13,1456,THROW
14,3976,EXPLODE
15,1494,DIE
16,1418,DIG
17,1447,GIVE
18,1573,SWELL
19,2868,DRIVE (CATTLE)
20,1086,WORK (ACTIVITY)
21,3058,GRAZE
22,1468,LOOK FOR
23,1590,WAIT (FOR)
24,792,BOIL (OF LIQUID)
25,1355,LAUGH
26,1519,RUN
27,363,"DWELL (LIVE, RESIDE)"
28,923,LOVE
29,1419,FEAR (BE AFRAID)
30,1156,OPEN
31,1749,TAKE
32,1107,GO OUT
33,1336,EAT
34,1446,COME
35,1453,WASH
36,2558,BREAK (CLEAVE)
37,2334,MELT
38,2146,ROAST OR FRY
39,749,ENTER
40,3020,BREAK (BREAKING)
41,1735,TEAR (SHRED)
42,1431,FREEZE
43,1280,FALL
44,719,FIND
45,423,GET LOST
4,1819,LOOK
46,1416,SIT
46,1649,SIT DOWN
47,1410,KNOW (SOMETHING)
47,1536,UNDERSTAND
48,702,CATCH
48,1448,HOLD
49,570,STAND UP
49,1442,STAND
50,1990,BECOME
50,1579,BE
51,1523,FORGET
52,1403,BITE
53,1204,BARK
54,1983,SNORE
55,2492,BOIL (SOMETHING)
56,987,REMAIN
57,1117,LIKE
58,3072,MISPLACE
59,978,WAVE
59,2901,SWING (SOMETHING)
60,1455,PULL
61,1444,TURN AROUND
62,1892,TOUCH
63,1428,BURNING
64,531,HOW MUCH
65,2905,KNIT
66,2327,BECOME SICK
66,1847,SICK
67,2907,ROT
68,1172,SHOOT
69,2493,BOIL
70,1206,BARKING
71,2133,STRIKE OR BEAT
72,1278,VOMIT
73,1815,ACHE
74,1890,BELIEVE
75,581,COME BACK
76,1831,MEET
77,1487,POUR
78,526,HOWL
79,127,EXTINGUISH
